application_date,decision_date,country,visa_type,processing_office
23-11-2024,12-12-2024,India,Work,New York
24-04-2024,16-05-2024,Australia,Student,Sydney
06-10-2024,22-10-2024,Germany,Business,Delhi
16-01-2024,01-02-2024,USA,Tourist,Berlin
04-11-2024,12-11-2024,Germany,Tourist,Sydney
28-11-2024,02-03-2025,Germany,Business,New York
17-08-2024,05-11-2024,UK,Student,New York
23-12-2024,20-02-2025,UK,Work,New York
20-04-2024,31-07-2024,UK,Student,Delhi
13-07-2024,30-07-2024,UK,Work,Berlin
15-05-2024,31-08-2024,India,Business,Berlin
04-03-2024,26-04-2024,India,Dependent,London
17-11-2024,09-02-2025,UK,Dependent,New York
26-12-2024,08-01-2025,India,Tourist,London
10-02-2024,03-06-2024,USA,Student,Toronto
22-05-2024,24-07-2024,Australia,Work,New York
08-07-2024,27-08-2024,USA,Work,Sydney
15-12-2024,12-03-2025,India,Dependent,Sydney
28-03-2024,09-06-2024,Australia,Tourist,New York
24-08-2024,16-10-2024,UK,Dependent,New York
16-12-2024,31-01-2025,India,Tourist,Delhi
10-06-2024,05-08-2024,UK,Student,New York
17-10-2024,11-02-2025,Australia,Work,New York
01-12-2024,07-02-2025,Canada,Business,New York
15-05-2024,06-06-2024,USA,Dependent,Berlin
14-05-2024,22-08-2024,Germany,Business,Berlin
23-07-2024,12-09-2024,USA,Tourist,Berlin
09-09-2024,25-09-2024,India,Student,New York
17-11-2024,12-12-2024,Australia,Business,Berlin
02-02-2024,27-03-2024,Canada,Dependent,Toronto
27-09-2024,03-11-2024,Germany,Student,Sydney
28-02-2024,30-05-2024,Germany,Work,Sydney
23-06-2024,12-07-2024,UK,Business,New York
20-08-2024,25-08-2024,Australia,Work,Berlin
01-04-2024,09-06-2024,India,Work,Sydney
16-09-2024,07-12-2024,USA,Tourist,London
23-03-2024,05-06-2024,Germany,Student,Berlin
14-06-2024,20-08-2024,India,Student,London
06-06-2024,11-07-2024,India,Tourist,Berlin
10-02-2024,25-02-2024,Australia,Business,Delhi
29-09-2024,10-01-2025,USA,Tourist,Sydney
31-08-2024,14-11-2024,USA,Work,Berlin
06-11-2024,04-01-2025,USA,Dependent,Sydney
19-12-2024,18-01-2025,Australia,Work,Toronto
09-12-2024,07-03-2025,UK,Business,Berlin
19-08-2024,08-09-2024,USA,Tourist,Delhi
22-06-2024,29-06-2024,Germany,Dependent,New York
28-10-2024,30-11-2024,India,Student,Sydney
19-11-2024,01-12-2024,USA,Student,Delhi
18-06-2024,02-07-2024,Germany,Tourist,London
08-12-2024,13-02-2025,USA,Dependent,New York
19-10-2024,05-01-2025,Canada,Tourist,Toronto
27-07-2024,25-08-2024,India,Student,Sydney
08-08-2024,27-09-2024,Canada,Business,Toronto
28-01-2024,28-04-2024,Australia,Student,Delhi
25-07-2024,31-10-2024,UK,Student,New York
08-04-2024,07-05-2024,Germany,Business,New York
04-08-2024,01-09-2024,UK,Business,New York
08-02-2024,09-04-2024,Germany,Student,Delhi
29-11-2024,11-02-2025,India,Student,New York
26-03-2024,22-05-2024,Canada,Business,New York
24-07-2024,21-11-2024,India,Tourist,Toronto
02-01-2024,25-02-2024,UK,Business,London
04-08-2024,06-11-2024,Australia,Dependent,Sydney
06-09-2024,30-09-2024,USA,Work,New York
30-01-2024,18-04-2024,Australia,Dependent,Delhi
09-06-2024,21-06-2024,India,Dependent,Toronto
14-09-2024,06-01-2025,Germany,Tourist,Delhi
17-09-2024,02-10-2024,USA,Student,Berlin
04-02-2024,05-05-2024,USA,Business,Delhi
18-10-2024,23-11-2024,Germany,Dependent,Delhi
13-11-2024,28-11-2024,Canada,Dependent,Berlin
24-09-2024,08-11-2024,UK,Tourist,Sydney
09-06-2024,14-07-2024,UK,Business,New York
09-12-2024,06-03-2025,UK,Business,London
07-02-2024,13-02-2024,Canada,Dependent,Berlin
21-02-2024,06-03-2024,Germany,Tourist,Berlin
15-05-2024,05-06-2024,UK,Student,New York
08-07-2024,18-08-2024,USA,Business,Berlin
26-12-2024,07-02-2025,Germany,Dependent,Delhi
07-12-2024,26-03-2025,Germany,Work,Sydney
23-02-2024,19-06-2024,USA,Work,Delhi
24-02-2024,03-06-2024,Germany,Tourist,London
